Date,Day_of_Week,Day_Type,Month,Hour,Time_Slot,Time_Period,Location,Event_Note,Two_Wheelers,Cars_and_SUVs,Auto_Rickshaws,Buses_MTC_Private,Trucks_and_LCVs,Total_Vehicles,PCU_Value,Avg_Speed_kmph,Signal_Delay_sec,Congestion_Level
2024-01-01,Monday,Weekday,January,0,00:00-01:00,Night,Kathipara Junction,Regular Day,48,40,7,9,14,118,137.2,31.7,21.2,Free Flow
2024-01-01,Monday,Weekday,January,1,01:00-02:00,Night,Kathipara Junction,Regular Day,14,11,3,2,0,30,25.8,31.4,15.6,Free Flow
2024-01-01,Monday,Weekday,January,2,02:00-03:00,Night,Kathipara Junction,Regular Day,54,53,9,8,8,132,133.4,35.6,23.6,Free Flow
2024-01-01,Monday,Weekday,January,3,03:00-04:00,Night,Kathipara Junction,Regular Day,42,34,9,6,8,99,102.4,36.6,17.2,Free Flow
2024-01-01,Monday,Weekday,January,4,04:00-05:00,Night,Kathipara Junction,Regular Day,65,55,9,11,15,155,170.9,36.7,15.0,Free Flow
2024-01-01,Monday,Weekday,January,5,05:00-06:00,Night,Kathipara Junction,Regular Day,58,43,12,6,7,126,118.2,32.3,33.1,Free Flow
2024-01-01,Monday,Weekday,January,6,06:00-07:00,Off-Peak,Kathipara Junction,Regular Day,138,114,19,22,11,304,293.4,35.9,17.8,Free Flow
2024-01-01,Monday,Weekday,January,7,07:00-08:00,Shoulder Hour,Kathipara Junction,Regular Day,270,205,52,40,30,597,581.2,19.8,71.9,Light
2024-01-01,Monday,Weekday,January,8,08:00-09:00,Morning Peak,Kathipara Junction,Regular Day,814,737,128,141,104,1924,1955.8,12.4,120.7,Severe
2024-01-01,Monday,Weekday,January,9,09:00-10:00,Morning Peak,Kathipara Junction,Regular Day,880,740,180,175,132,2107,2209.0,13.1,143.9,Severe
2024-01-01,Monday,Weekday,January,10,10:00-11:00,Morning Peak,Kathipara Junction,Regular Day,902,796,208,183,106,2195,2238.8,17.5,115.6,Severe
2024-01-01,Monday,Weekday,January,11,11:00-12:00,Midday,Kathipara Junction,Regular Day,395,340,60,61,64,920,948.5,25.5,65.3,Heavy
2024-01-01,Monday,Weekday,January,12,12:00-13:00,Midday,Kathipara Junction,Regular Day,394,322,63,80,80,939,1036.8,23.9,91.5,Heavy
2024-01-01,Monday,Weekday,January,13,13:00-14:00,Midday,Kathipara Junction,Regular Day,396,318,92,58,76,940,973.2,20.7,98.1,Severe
2024-01-01,Monday,Weekday,January,14,14:00-15:00,Midday,Kathipara Junction,Regular Day,329,283,49,51,11,723,662.9,25.2,73.2,Heavy
2024-01-01,Monday,Weekday,January,15,15:00-16:00,Midday,Kathipara Junction,Regular Day,348,299,78,47,34,806,762.8,23.3,76.0,Heavy
2024-01-01,Monday,Weekday,January,16,16:00-17:00,Midday,Kathipara Junction,Regular Day,313,240,43,47,76,719,791.3,22.2,76.5,Heavy
2024-01-01,Monday,Weekday,January,17,17:00-18:00,Evening Peak,Kathipara Junction,Regular Day,852,614,161,145,138,1910,1985.6,14.0,189.5,Severe
2024-01-01,Monday,Weekday,January,18,18:00-19:00,Evening Peak,Kathipara Junction,Regular Day,645,602,149,108,74,1578,1559.9,14.9,171.6,Severe
2024-01-01,Monday,Weekday,January,19,19:00-20:00,Evening Peak,Kathipara Junction,Regular Day,869,750,185,99,19,1922,1649.5,16.9,132.9,Severe
2024-01-01,Monday,Weekday,January,20,20:00-21:00,Evening Peak,Kathipara Junction,Regular Day,694,566,139,93,57,1549,1446.4,16.6,172.8,Severe
2024-01-01,Monday,Weekday,January,21,21:00-22:00,Shoulder Hour,Kathipara Junction,Regular Day,232,182,51,37,48,550,583.6,19.5,51.0,Light
2024-01-01,Monday,Weekday,January,22,22:00-23:00,Off-Peak,Kathipara Junction,Regular Day,178,158,34,30,36,436,465.4,37.1,18.3,Light
2024-01-01,Monday,Weekday,January,23,23:00-24:00,Night,Kathipara Junction,Regular Day,66,55,13,12,1,147,134.8,27.2,28.8,Free Flow
2024-01-02,Tuesday,Weekday,January,0,00:00-01:00,Night,Kathipara Junction,Regular Day,70,53,10,8,13,154,157.0,34.5,33.3,Free Flow
